        target addrress,              CountSeen,       CountLoopInvoked,              MeanTaken,              DiffCount,           routine name,        routine address,routine invocations count
                     0x7fa4293ef178,                     10,                      4,                      2,                      1,        get_nprocs_conf,           7fa4293ef130,                      1
                     0x7fa43e429b10,                     10,                      4,                      2,                      2,                  .text,           7fa43e423f10,                      3
                     0x7fa43e425230,                      9,                      1,                      9,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e42b718,                      9,                      1,                      9,                      0,                  .text,           7fa43e423f10,                      3
                     0x4041bf,                      8,                      1,                      8,                      0,                   main,                 4040af,                      1
                     0x40cf7e,                      7,                      1,                      7,                      0,          sendMTFValues,                 40ceee,                      1
                     0x7fa43e425f95,                      7,                      2,                      3,                      1,                  .text,           7fa43e423f10,                      3
                     0x409fa5,                      7,                      1,                      7,                      0,           fallbackSort,                 409c33,                      1
                     0x40d084,                      6,                      1,                      6,                      0,          sendMTFValues,                 40ceee,                      1
                     0x7fa43e429900,                      6,                      1,                      6,                      0,                  .text,           7fa43e423f10,                      3
                     0x41051e,                      6,                      1,                      6,                      0,          sendMTFValues,                 40ceee,                      1
                     0x410a2a,                      6,                      1,                      6,                      0,          sendMTFValues,                 40ceee,                      1
                     0x4105f5,                      6,                      1,                      6,                      0,          sendMTFValues,                 40ceee,                      1
                     0x7fa43e426efc,                      6,                      1,                      6,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e4272cb,                      6,                      2,                      3,                      1,                  .text,           7fa43e423f10,                      3
                     0x7fa43e42c830,                      5,                      2,                      2,                      1,                  .text,           7fa43e423f10,                      3
                     0x40d252,                      5,                      1,                      5,                      0,          sendMTFValues,                 40ceee,                      1
                     0x402d39,                      5,                      1,                      5,                      0,               compress,                 402b73,                      1
                     0x7fa43e424f40,                      5,                      1,                      5,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa429367c3e,                      5,                      1,                      5,                      0,            __libc_free,           7fa429367910,                     18
                     0x7fa429367a70,                      5,                      1,                      5,                      0,            __libc_free,           7fa429367910,                     18
                     0x7fa43e428c7c,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e428c7c,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e429e19,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e428c1f,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e429b10,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x40427a,                      4,                      1,                      4,                      0,                   main,                 4040af,                      1
                     0x404452,                      4,                      2,                      2,                      0,                   main,                 4040af,                      1
                     0x404402,                      4,                      1,                      4,                      0,                   main,                 4040af,                      1
                     0x404622,                      4,                      1,                      4,                      0,                   main,                 4040af,                      1
                     0x404a72,                      4,                      1,                      4,                      0,                   main,                 4040af,                      1
                     0x7fa4293ef178,                      4,                      2,                      2,                      0,        get_nprocs_conf,           7fa4293ef130,                      1
                     0x7fa4293ef178,                      4,                      4,                      1,                      0,        get_nprocs_conf,           7fa4293ef130,                      1
                     0x7fa43e42c177,                      4,                      1,                      4,                      0,                  .text,           7fa43e423f10,                      3
                     0x404c8b,                      4,                      1,                      4,                      0,                   main,                 4040af,                      1
                     0x7fa43e437810,                      4,                      1,                      4,                      0,_dl_find_dso_for_object,           7fa43e4377e0,                      1
                     0x7fa43e42c6c7,                      4,                      3,                      1,                      1,                  .text,           7fa43e423f10,                      3
                     0x7fa42934e220,                      4,                      4,                      1,                      0,                 fclose,           7fa42934e200,                      4
                     0x7fa43e42c349,                      4,                      1,                      4,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e428d70,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e428d70,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e428d70,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e429e19,                      4,                      1,                      4,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e429e4e,                      4,                      2,                      2,                      1,                  .text,           7fa43e423f10,                      3
                     0x7fa43e426348,                      4,                      1,                      4,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa4292f1a88,                      4,                      1,                      4,                      0,                  _init,           7fa4292f1a10,                      1
                     0x7fa43e429e0f,                      4,                      1,                      4,                      0,                  .text,           7fa43e423f10,                      3
                     0x40421c,                      4,                      1,                      4,                      0,                   main,                 4040af,                      1
                     0x7fa43e426f60,                      4,                      1,                      4,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e429981,                      4,                      1,                      4,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e42a115,                      4,                      4,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa429367d9f,                      3,                      1,                      3,                      0,            __libc_free,           7fa429367910,                     18
                     0x7fa4296d0080,                      3,                      2,                      1,                      1,     pthread_key_create,           7fa4296d0070,                      2
                     0x405ae9,                      3,                      3,                      1,                      0,        handle_compress,                 405ac7,                      3
                     0x7fa42931356e,                      3,                      3,                      1,                      0,         __cxa_finalize,           7fa429313510,                      3
                     0x7fa429313678,                      3,                      3,                      1,                      0,         __cxa_finalize,           7fa429313510,                      3
                     0x7fa4293eb6fa,                      3,                      1,                      3,                      0,                   mmap,           7fa4293eb6d0,                      3
                     0x403f13,                      3,                      2,                      1,                      1,             snocString,                 403eb0,                      5
                     0x7fa429367b79,                      3,                      1,                      3,                      0,            __libc_free,           7fa429367910,                     18
                     0x7fa42935c49d,                      3,                      3,                      1,                      0,         _IO_file_fopen,           7fa42935c450,                      3
                     0x7fa43e42bcee,                      3,                      1,                      3,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa42935c510,                      3,                      1,                      3,                      0,         _IO_file_fopen,           7fa42935c450,                      3
                     0x40c8d8,                      3,                      1,                      3,                      0,          bsFinishWrite,                 40c8ce,                      1
                     0x7fa43e428c9a,                      3,                      3,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e428cba,                      3,                      1,                      3,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa429367ad0,                      2,                      1,                      2,                      0,            __libc_free,           7fa429367910,                     18
                     0x7fa4296cc82a,                      2,                      1,                      2,                      0, __pthread_mutex_unlock,           7fa4296cc810,                      2
                     0x7fa4293ef185,                      2,                      1,                      2,                      0,        get_nprocs_conf,           7fa4293ef130,                      1
                     0x407f89,                      2,                      2,                      1,                      0,            BZ2_bzWrite,                 407e2e,                      2
                     0x7fa43e429b10,                      2,                      2,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e429e4e,                      2,                      1,                      2,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e42b898,                      2,                      2,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e429e3f,                      2,                      2,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e42b660,                      2,                      2,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e429e3f,                      2,                      2,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e4272cb,                      2,                      2,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x40177b,                      2,                      1,                      2,                      0,         compressStream,                 4016ce,                      1
                     0x7fa43e425fb0,                      2,                      1,                      2,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa4296cb076,                      2,                      2,                      1,                      0,     pthread_mutex_lock,           7fa4296cafd0,                      0
                     0x7fa42935e0d9,                      2,                      1,                      2,                      0,                __uflow,           7fa42935e080,                      0
                     0x7fa42935e2f2,                      2,                      1,                      2,                      0,         _IO_doallocbuf,           7fa42935e2b0,                      2
                     0x7fa4296d0080,                      2,                      2,                      1,                      0,     pthread_key_create,           7fa4296d0070,                      2
                     0x7fa4296d0080,                      2,                      2,                      1,                      0,     pthread_key_create,           7fa4296d0070,                      2
                     0x7fa43e4292c0,                      2,                      1,                      2,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e4363a0,                      2,                      1,                      2,                      0,  _dl_allocate_tls_init,           7fa43e436300,                      1
                     0x7fa43e42c7f0,                      2,                      1,                      2,                      0,                  .text,           7fa43e423f10,                      3
                     0x405ae9,                      2,                      2,                      1,                      0,        handle_compress,                 405ac7,                      3
                     0x7fa43e4272f7,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa42934e58b,                      1,                      1,                      1,                      0,                 fdopen,           7fa42934e490,                      1
                     0x7fa43e428c65,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e4250b5,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e42635a,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e424f4f,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
